SOILPROFILE,PLANT_ID,NOTE,DEADYR
DUNE,LATR01,,
DUNE,LATR02,,
DUNE,ARPU03,DEAD,2011
DUNE,SPAI11,,
DUNE,SPCO05,DEAD,2014
DUNE,FLCE03,,
DUNE,PRGL01,,
DUNE,SPAI04,,
DUNE,FLCE02,,
DUNE,LATR03,,
DUNE,SPCO03,DEAD,2011
DUNE,SPAI02,,
DUNE,FLCE01,,
DUNE,PRGL02,,
DUNE,FLCE04,,
DUNE,LATR04,,
DUNE,ARPU02,DEAD,2012
DUNE,PRGL07,,
DUNE,ARPU01,DEAD,2012
DUNE,SPAI01,DEAD,2012
DUNE,SPAI10,,
DUNE,ARPU04,DEAD,2012
DUNE,PRGL08,,
GRASS,SPAI06,,
GRASS,PRGL06,,
GRASS,FLCE05,,
GRASS,FLCE06,,
GRASS,PRGL05,,
GRASS,SPAI07,,
GRASS,PLMU03,,
GRASS,FLCE07,,
GRASS,PRGL03,,
GRASS,PRGL04,,
GRASS,SPAI09,,
GRASS,PLMU04,,
GRASS,PLMU01,,
GRASS,SPAI08,,
GRASS,PLMU02,,
GRASS,FLCE08,,
